chunk_path,original_filename,start_s,end_s
/content/temp_audio_chunks/Paradise Lost_20-30s.wav,Paradise Lost.mp3,20,30
/content/temp_audio_chunks/Paradise Lost_30-40s.wav,Paradise Lost.mp3,30,40
/content/temp_audio_chunks/Paradise Lost_40-50s.wav,Paradise Lost.mp3,40,50
/content/temp_audio_chunks/Paradise Lost_50-60s.wav,Paradise Lost.mp3,50,60
/content/temp_audio_chunks/Paradise Lost_60-70s.wav,Paradise Lost.mp3,60,70
/content/temp_audio_chunks/Paradise Lost_70-80s.wav,Paradise Lost.mp3,70,80
/content/temp_audio_chunks/Paradise Lost_80-90s.wav,Paradise Lost.mp3,80,90
/content/temp_audio_chunks/Paradise Lost_90-100s.wav,Paradise Lost.mp3,90,100
/content/temp_audio_chunks/Paradise Lost_100-110s.wav,Paradise Lost.mp3,100,110
/content/temp_audio_chunks/Paradise Lost_110-120s.wav,Paradise Lost.mp3,110,120
/content/temp_audio_chunks/Paradise Lost_120-130s.wav,Paradise Lost.mp3,120,130
/content/temp_audio_chunks/Paradise Lost_130-140s.wav,Paradise Lost.mp3,130,140
/content/temp_audio_chunks/Paradise Lost_140-150s.wav,Paradise Lost.mp3,140,150
/content/temp_audio_chunks/Paradise Lost_150-160s.wav,Paradise Lost.mp3,150,160
/content/temp_audio_chunks/Paradise Lost_160-164s.wav,Paradise Lost.mp3,160,164
/content/temp_audio_chunks/Teatro & cinema_0-10s.wav,Teatro & cinema.mp3,0,10
/content/temp_audio_chunks/Teatro & cinema_10-20s.wav,Teatro & cinema.mp3,10,20
/content/temp_audio_chunks/Teatro & cinema_20-30s.wav,Teatro & cinema.mp3,20,30
/content/temp_audio_chunks/Teatro & cinema_30-40s.wav,Teatro & cinema.mp3,30,40
/content/temp_audio_chunks/Teatro & cinema_40-50s.wav,Teatro & cinema.mp3,40,50
/content/temp_audio_chunks/Teatro & cinema_50-60s.wav,Teatro & cinema.mp3,50,60
/content/temp_audio_chunks/Teatro & cinema_60-70s.wav,Teatro & cinema.mp3,60,70
/content/temp_audio_chunks/Teatro & cinema_70-80s.wav,Teatro & cinema.mp3,70,80
/content/temp_audio_chunks/Teatro & cinema_80-90s.wav,Teatro & cinema.mp3,80,90
/content/temp_audio_chunks/Teatro & cinema_90-100s.wav,Teatro & cinema.mp3,90,100
/content/temp_audio_chunks/Teatro & cinema_100-110s.wav,Teatro & cinema.mp3,100,110
/content/temp_audio_chunks/Teatro & cinema_110-120s.wav,Teatro & cinema.mp3,110,120
/content/temp_audio_chunks/Teatro & cinema_120-130s.wav,Teatro & cinema.mp3,120,130
/content/temp_audio_chunks/Teatro & cinema_130-140s.wav,Teatro & cinema.mp3,130,140
/content/temp_audio_chunks/Teatro & cinema_140-150s.wav,Teatro & cinema.mp3,140,150
/content/temp_audio_chunks/Teatro & cinema_150-160s.wav,Teatro & cinema.mp3,150,160
/content/temp_audio_chunks/Teatro & cinema_160-170s.wav,Teatro & cinema.mp3,160,170
/content/temp_audio_chunks/Teatro & cinema_170-180s.wav,Teatro & cinema.mp3,170,180
/content/temp_audio_chunks/Teatro & cinema_180-190s.wav,Teatro & cinema.mp3,180,190
/content/temp_audio_chunks/Teatro & cinema_190-200s.wav,Teatro & cinema.mp3,190,200
/content/temp_audio_chunks/Teatro & cinema_200-210s.wav,Teatro & cinema.mp3,200,210
/content/temp_audio_chunks/Teatro & cinema_210-220s.wav,Teatro & cinema.mp3,210,220
/content/temp_audio_chunks/Teatro & cinema_220-230s.wav,Teatro & cinema.mp3,220,230
